id,code,domesticregion,english_name,local_name
01,JP-01,北海道,Hokkaido,北海道
02,JP-02,東北,Aomori,青森県
03,JP-03,東北,Iwate,岩手県
04,JP-04,東北,Miyagi,宮城県
05,JP-05,東北,Akita,秋田県
06,JP-06,東北,Yamagata,山形県
07,JP-07,東北,Fukushima,福島県
08,JP-08,関東,Ibaraki,茨城県
09,JP-09,関東,Tochigi,栃木県
10,JP-10,関東,Gunma,群馬県
11,JP-11,関東,Saitama,埼玉県
12,JP-12,関東,Chiba,千葉県
13,JP-13,関東,Tokyo,東京都
14,JP-14,関東,Kanagawa,神奈川県
15,JP-15,甲信越・北陸,Niigata,新潟県
16,JP-16,甲信越・北陸,Toyama,富山県
17,JP-17,甲信越・北陸,Ishikawa,石川県
18,JP-18,甲信越・北陸,Fukui,福井県
19,JP-19,甲信越・北陸,Yamanashi,山梨県
20,JP-20,甲信越・北陸,Nagano,長野県
21,JP-21,東海,Gifu,岐阜県
22,JP-22,東海,Shizuoka,静岡県
23,JP-23,東海,Aichi,愛知県
24,JP-24,東海,Mie,三重県
25,JP-25,関西,Shiga,滋賀県
26,JP-26,関西,Kyoto,京都府
27,JP-27,関西,Osaka,大阪府
28,JP-28,関西,Hyogo,兵庫県
29,JP-29,関西,Nara,奈良県
30,JP-30,関西,Wakayama,和歌山県
31,JP-31,中国,Tottori,鳥取県
32,JP-32,中国,Shimane,島根県
33,JP-33,中国,Okayama,岡山県
34,JP-34,中国,Hiroshima,広島県
35,JP-35,中国,Yamaguchi,山口県
36,JP-36,四国,Tokushima,徳島県
37,JP-37,四国,Kagawa,香川県
38,JP-38,四国,Ehime,愛媛県
39,JP-39,四国,Kochi,高知県
40,JP-40,九州・沖縄,Fukuoka,福岡県
41,JP-41,九州・沖縄,Saga,佐賀県
42,JP-42,九州・沖縄,Nagasaki,長崎県
43,JP-43,九州・沖縄,Kumamoto,熊本県
44,JP-44,九州・沖縄,Oita,大分県
45,JP-45,九州・沖縄,Miyazaki,宮崎県
46,JP-46,九州・沖縄,Kagoshima,鹿児島県
47,JP-47,九州・沖縄,Okinawa,沖縄県
